sub_icb_location_code,sub_icb_location_ons_code,sub_icb_location_name,icb_ons_code,region_ons_code,appointment_date,actual_duration,count_of_appointments
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,08-Dec-21,31-60 Minutes,381
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,08-Dec-21,21-30 Minutes,661
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,09-Dec-21,Unknown / Data Quality,1388
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,09-Dec-21,16-20 Minutes,729
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,09-Dec-21,6-10 Minutes,1690
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,09-Dec-21,21-30 Minutes,706
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,09-Dec-21,11-15 Minutes,1147
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,09-Dec-21,31-60 Minutes,367
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,09-Dec-21,1-5 Minutes,1421
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,10-Dec-21,Unknown / Data Quality,1233
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,10-Dec-21,6-10 Minutes,1596
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,10-Dec-21,11-15 Minutes,1095
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,10-Dec-21,21-30 Minutes,618
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,10-Dec-21,31-60 Minutes,362
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,10-Dec-21,1-5 Minutes,1377
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,10-Dec-21,16-20 Minutes,702
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,11-Dec-21,11-15 Minutes,22
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,11-Dec-21,1-5 Minutes,22
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,11-Dec-21,6-10 Minutes,29
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,11-Dec-21,21-30 Minutes,15
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,11-Dec-21,31-60 Minutes,5
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,11-Dec-21,Unknown / Data Quality,121
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,11-Dec-21,16-20 Minutes,17
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,12-Dec-21,6-10 Minutes,1
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,12-Dec-21,1-5 Minutes,2
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,13-Dec-21,6-10 Minutes,2012
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,13-Dec-21,31-60 Minutes,375
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,13-Dec-21,16-20 Minutes,783
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,13-Dec-21,21-30 Minutes,755
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,13-Dec-21,1-5 Minutes,1643
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,13-Dec-21,11-15 Minutes,1391
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,13-Dec-21,Unknown / Data Quality,1562
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,14-Dec-21,11-15 Minutes,1209
